CUST_ID,CUST_TYPE,BUSI_CODE,CONF_AMTS,GENDER,NET_CODE,RISK_LEV,CONF_YEAR,CONF_MONTH,CONF_DAY,AGE,TELL_PREFIX,COUNTY_PROV,COUNTY_CITY,COUNTY_DIST,FUND_CODE_FREQ,target
369000520134,1,5,2.0152916381772493e-07,2.0,1,0.8,2024,6,7,0.2068965517241379,1598337,11,01,17,0.025121079074820078,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0048884261983433664,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.001267369755126058,1
369001070042,1,2,0.0010677566057404814,2.0,1,1.0,2024,6,7,0.6724137931034482,1396659,51,01,07,0.0007694744941836781,1
69388,1,2,0.0010298617559322053,1.0,3,1.0,2024,6,7,0.4137931034482758,1392082,31,01,05,0.0007694744941836781,1
369000150076,1,2,0.0013976880609930316,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.0007694744941836781,1
369000210064,1,2,0.0009213961512824408,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.00022631602770108178,1
250268,1,2,0.001024000134653726,2.0,3,0.8,2024,6,7,0.293103448275862,1595082,31,01,10,0.0007694744941836781,0
369000210064,1,6,0.00027863625957815397,0.0,2,0.0,2024,6,7,0.3793103448275862,0,00,00,00,0.00022631602770108178,1
38,1,5,8.956851725232219e-08,1.0,1,1.0,2024,6,7,0.43103448275862066,1382090,31,01,01,0.0027610555379531977,0
50328,1,1,1.1173672527227194e-05,2.0,3,1.0,2024,6,11,0.4655172413793103,1880030,31,01,04,0.0010410537274249763,0
50328,1,2,6.652765436484773e-05,2.0,3,1.0,2024,6,11,0.4655172413793103,1880030,31,01,04,0.00027157923324129817,0
88448,1,5,8.956851725232219e-08,2.0,3,0.8,2024,6,11,0.1724137931034483,1366990,31,01,04,0.001901054632689087,0
369000530278,1,5,8.956851725232219e-08,2.0,1,0.6000000000000001,2024,6,11,0.31034482758620685,1867583,51,13,03,0.005929479925768343,0
30828,1,5,2.2168208019949745e-06,0.0,2,0.0,2024,6,11,0.3793103448275862,0,00,00,00,0.0024442130991716832,0
369000240200,1,5,3.3588193969620824e-08,0.0,2,0.0,2024,6,11,0.3793103448275862,0,00,00,00,0.0025800027157923326,0
369000550031,1,2,7.962865105024574e-07,1.0,1,0.8,2024,6,11,0.27586206896551724,1362147,31,01,15,0.0007694744941836781,0
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,11,0.48275862068965514,1399808,32,01,02,0.017743176571764812,0
72548,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,11,0.31034482758620685,1359101,11,01,06,0.008554745847100892,0
72548,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,11,0.31034482758620685,1359101,11,01,06,0.008554745847100892,0
72548,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,11,0.31034482758620685,1359101,11,01,06,0.0012221065495858416,0
369000500244,0,2,0.07883565857871014,0.0,1,0.8,2024,6,11,0.3793103448275862,1810805,00,00,00,9.052641108043272e-05,1
369000210059,1,1,4.140304709988594e-05,0.0,2,0.0,2024,6,11,0.3793103448275862,0,00,00,00,4.526320554021636e-05,0
369000500244,0,2,0.09013829078225502,0.0,1,0.8,2024,6,11,0.3793103448275862,1810805,00,00,00,0.00013578961662064908,1
369000590071,1,1,1.097214336340947e-06,2.0,1,0.8,2024,6,11,0.27586206896551724,1987187,31,01,04,0.07807902955687322,0
369000590071,1,1,1.097214336340947e-06,2.0,1,0.8,2024,6,11,0.27586206896551724,1987187,31,01,04,0.07807902955687322,0
369001100019,1,1,3.3364272676490016e-06,2.0,1,0.6000000000000001,2024,6,11,0.5,1350843,11,01,05,0.07807902955687322,0
